spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,25495,5.100214423248568,349,525734340.0,331351.88,20621.076,1
1,152,6.503776879458957,455,669869.8,5448.949,4407.038,1
2,134,6.50086675183892,455,625610.44,5350.2275,4668.7344,0
3,4,6.529853471148179,457,18067.088,4676.006,4516.772,0
4,9,6.5547377382938015,459,43272.57,5566.8843,4808.0635,1
5,5,6.556267569356498,460,25545.65,5599.668,5109.13,1
6,8,6.335928282442795,443,41723.164,6104.1577,5215.3955,1
7,6,6.60357949850203,463,26471.117,4810.133,4411.853,0
8,53,6.5440421716831425,459,252197.2,7911.478,4758.438,1
9,4,6.543842077410201,458,20842.348,5820.79,5210.587,1
10,5,6.462646249381078,452,23229.992,4825.7603,4645.9985,1
11,5,6.517881320278791,457,23114.828,4864.1704,4622.966,0
12,42,6.218039425522973,434,568492.4,51715.26,13535.533,1
13,9,6.210041398837652,433,62050.965,9233.33,6894.552,1
14,28,6.208429583923534,433,194208.11,15280.232,6936.004,1
15,7,6.460648556641056,452,32509.41,4928.0576,4644.2017,1
16,5,6.508040401122623,456,24201.488,5050.0312,4840.298,0
17,17,6.310210909646878,441,89312.52,5807.524,5253.6777,1
18,4,6.596123607942426,462,16704.986,4586.061,4176.2466,0
19,29,6.451715566351905,452,130959.305,4913.085,4515.838,0
20,8,6.381878553318199,446,34216.53,4647.4033,4277.0664,0
21,4,6.586605019526621,462,16676.887,4403.0117,4169.2217,0
22,16,6.428840021314538,450,69929.125,4717.9263,4370.5703,0
23,6,6.248773508905797,436,29159.197,5060.8975,4859.866,0
24,21,6.466033344807464,453,95824.53,5040.3716,4563.0728,0
25,4,6.356587377818727,444,18392.984,4819.0474,4598.246,0
26,4,6.330184262850497,442,24163.3,6373.0625,6040.825,1
27,8,6.37073992947872,445,35172.543,4597.0615,4396.568,1
28,11,6.447883063885079,451,49437.723,4880.615,4494.3384,0
29,12,6.492603582369156,455,59406.84,5201.2407,4950.57,1
30,4,6.361467849833824,445,19073.46,4815.6245,4768.365,1
31,768,6.250827212249318,436,3735978.5,5877.655,4864.555,0
32,4,6.395127091394877,447,17068.871,4531.613,4267.218,0
33,17,6.504404926703947,456,78952.664,5308.5615,4644.2744,1
34,25,6.548672353802798,459,117762.984,6674.872,4710.5195,1
35,7,6.450902703580886,451,31350.064,4821.83,4478.5806,0
36,5,6.403624817278391,448,22275.914,4685.8604,4455.1826,1
37,11,6.325241342777311,442,59323.555,5823.246,5393.0503,1
38,6,6.150734225869941,429,28457.426,4896.702,4742.9043,1
39,9,6.5547679486610235,459,40704.773,4973.172,4522.7524,1
40,5,6.017061055739196,418,26225.846,5484.2144,5245.169,1
41,6,6.2584116506760425,437,29545.135,5136.396,4924.189,1
42,4,6.326697485619106,442,22353.049,5730.4927,5588.262,1
43,6,6.429360651300408,450,26136.195,4607.1904,4356.0327,0
44,4,6.114388452372639,426,18372.904,4884.6587,4593.226,0
45,13,6.381623171025064,446,57302.21,4717.6924,4407.8623,0
46,4,6.405677696980601,448,17244.3,4499.839,4311.075,0
47,6,6.391273643532646,447,26081.068,4575.2866,4346.8447,0
48,5,6.220368270075061,434,24829.66,5159.328,4965.932,1
49,4,6.340940220549479,443,20649.893,5631.1313,5162.473,0
50,13,6.320342226854418,442,71819.69,5964.831,5524.5913,1
51,12,6.200385340121493,432,59292.953,5476.4585,4941.0796,1
52,9,5.882714971962844,408,44920.902,5281.7153,4991.2114,0
53,13,6.277822468321294,438,62627.348,5251.433,4817.4883,0
54,48,5.9501890163038365,413,234075.3,5551.2373,4876.569,0
55,4,6.102939515102044,425,18787.629,4830.412,4696.907,0
56,4,6.141726179401893,428,19088.225,4969.099,4772.056,0
57,6,6.383862163751772,446,26676.078,4620.878,4446.013,0
58,7,6.243520416131811,436,33715.824,5154.6924,4816.5464,0
59,4,6.277506090027616,438,19567.553,5092.6445,4891.888,1
60,4,6.325705090467082,442,22994.572,6069.151,5748.643,1
61,5,6.259792409237416,437,25448.484,5370.527,5089.697,1
62,16,6.321382202401352,442,112876.58,13792.144,7054.786,1
63,12,6.098518533336639,425,56605.86,4915.5044,4717.155,0
64,4,6.2055456622689,433,22186.734,5726.91,5546.6836,1
