spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,24879,5.129413676210868,351,533819460.0,329318.5,21456.629,1
1,237,6.4621043517971914,452,1083984.9,5380.6973,4573.776,0
2,4,6.562412098585139,460,17554.111,4628.2954,4388.528,0
3,256,6.472287131612196,453,1198964.6,5363.189,4683.4556,0
4,4,6.608291620447611,463,17304.578,4637.4224,4326.1445,1
5,4,6.4931543574014485,454,18469.137,4715.0444,4617.284,1
6,18,6.554448263382386,459,102159.89,8381.683,5675.5493,1
7,11,6.543459743572915,459,53457.793,6344.4287,4859.7993,1
8,8,6.5478576538445585,459,37802.418,5064.191,4725.3022,1
9,64,6.542921888475505,458,326176.47,7683.8975,5096.5073,1
10,4,6.579152362562056,461,17184.223,4574.467,4296.0557,1
11,4,6.479330388795347,454,17432.89,4560.322,4358.2227,0
12,5,6.523066440745865,457,21232.205,4588.3325,4246.441,0
13,22,6.218340473645386,434,171657.84,22820.832,7802.6294,1
14,43,6.217552049389682,434,312055.38,16596.748,7257.1016,1
15,21,6.210019594218683,433,174678.14,22541.373,8318.007,1
16,5,6.4838318450884325,454,22082.87,4614.7476,4416.5737,0
17,23,6.205621486441615,433,141171.69,9011.7705,6137.8994,1
18,9,6.494175443226975,455,39122.523,4569.028,4346.9473,0
19,9,6.451153844126706,452,39317.48,4690.1187,4368.609,0
20,6,6.399487557570205,447,26964.48,4775.635,4494.08,1
21,14,6.476821088357067,453,61486.92,4802.7056,4391.923,1
22,19,6.538689356418118,458,86080.016,5366.4707,4530.5273,1
23,18,6.436797279082192,450,79648.76,4698.8887,4424.931,0
24,5,6.604225496506256,463,22744.648,4756.2104,4548.9297,1
25,7,6.393742217020311,447,31344.635,4714.361,4477.805,1
26,4,6.154314250630638,429,19285.715,4950.632,4821.4287,0
27,4,6.415701026144212,449,17603.172,4569.092,4400.793,0
28,7,6.453744993623665,452,30186.432,4597.3784,4312.347,0
29,4,6.4960452236422315,455,17503.824,4685.008,4375.956,1
30,6,6.611136296829747,463,27290.299,4833.9233,4548.3833,0
31,4,6.562481681611237,460,17120.436,4556.027,4280.109,0
32,8,6.578436012179958,461,35445.582,4644.7114,4430.6978,0
33,27,6.48283625785811,454,118156.01,4763.8506,4376.1484,1
34,14,6.522437920910484,457,59577.934,4680.151,4255.567,0
35,4,6.556546144808305,459,18032.996,4774.153,4508.249,1
36,5,6.395712905507586,447,21962.564,4568.154,4392.5127,1
