spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,25417,5.1310990034159465,351,553433200.0,328938.66,21774.137,1
1,240,6.453668710594025,452,1108381.9,5415.089,4618.258,0
2,274,6.46608411599475,453,1280287.9,5303.0146,4672.5835,0
3,13,6.558928543914569,460,56338.832,4781.245,4333.7563,1
4,12,6.55211908679232,459,66252.22,8318.659,5521.018,1
5,11,6.543761853470237,459,57792.188,7092.2485,5253.8354,1
6,7,6.592728661591774,462,31060.398,4610.2573,4437.1997,0
7,6,6.5433829777565045,459,26124.271,4655.047,4354.0454,1
8,7,6.5452288174918865,459,32956.848,5378.2407,4708.121,1
9,47,6.545036161066333,459,263251.06,13401.863,5601.0864,1
10,4,6.5454487123939815,459,18834.863,4987.461,4708.716,1
11,25,6.540869020464849,458,132265.52,7376.8267,5290.6206,1
12,4,6.547338870485566,459,16976.469,4596.515,4244.117,0
13,20,6.2153279957071765,433,177733.28,29667.99,8886.664,1
14,4,6.601223291052234,463,17042.074,4590.8447,4260.5186,1
15,46,6.217081769387711,434,325088.53,13145.307,7067.142,1
16,4,6.5510391832441135,459,17241.287,4504.721,4310.322,1
17,12,6.203751722872422,433,84192.67,11758.699,7016.056,1
18,19,6.210895742798055,433,114416.23,7919.927,6021.9067,1
19,4,6.474485635861827,453,17553.52,4617.125,4388.38,0
20,5,6.4466610363444286,451,21929.1,4880.5854,4385.82,1
21,18,6.544371520565635,459,83364.72,5502.028,4631.373,1
22,23,6.458130254703724,452,100441.58,4704.922,4367.025,1
23,5,6.603122670725703,463,22190.357,4760.953,4438.0713,0
24,6,6.546336713322152,459,28304.305,5438.9097,4717.3843,1
25,10,6.177497079720298,431,49508.402,5168.5776,4950.8403,0
26,7,6.435268854842835,450,30962.229,4832.717,4423.1753,0
27,7,6.578483555599729,461,30410.896,4550.7627,4344.4136,1
28,4,6.395252681677915,447,17362.074,4559.9287,4340.5186,0
29,4,6.42260358025583,449,18092.852,4671.605,4523.213,1
30,7,6.370793930906792,445,31217.115,4628.459,4459.588,0
31,4,6.5483033788405205,459,18219.14,4694.892,4554.785,1
32,55,6.043809239926728,420,267390.12,5294.167,4861.6387,0
33,11,6.484295461209375,454,47653.027,4651.8438,4332.0933,1
34,12,6.401570432355021,448,52549.195,4662.2607,4379.0996,1
35,8,6.433527659424746,450,35484.94,4679.629,4435.6177,0
36,4,6.503945777322345,455,18054.4,4565.372,4513.6,0
37,15,6.4481347011603765,451,65907.41,4849.0,4393.827,1
38,4,6.364944744805893,445,17756.422,4649.0684,4439.1055,0
39,9,6.554098862919233,459,39288.312,4575.928,4365.368,1
40,1001,6.254329317270699,437,4946939.0,5889.3335,4941.997,0
41,8,6.400990332151746,448,36235.03,4835.0625,4529.379,0
42,32,6.555758451396027,459,174885.81,11534.199,5465.1816,1
43,5,6.326379905454142,442,22907.932,4745.752,4581.5864,0
44,6,6.5723874834042295,461,25684.781,4614.022,4280.797,0
45,9,6.183952073096756,431,45166.715,5329.4385,5018.524,1
46,12,6.445606681276528,451,53432.605,4664.6123,4452.7173,0
47,4,6.467683294288696,453,17871.645,4593.806,4467.911,1
48,4,6.553308926748011,459,18264.059,4778.342,4566.0146,1
49,9,6.349566344340117,444,40265.67,4799.523,4473.9634,0
50,4,6.30845321963394,441,18996.174,4983.018,4749.0435,0
51,5,6.493105083332644,455,21982.145,4676.982,4396.4287,1
52,22,6.5524625460298305,459,115050.31,8832.228,5229.5596,1
53,48,6.100989370648921,425,233650.39,5227.6123,4867.7163,0
54,16,6.369422611623752,445,71786.79,4717.7207,4486.6743,0
55,10,6.386746660998273,447,44997.38,4807.8237,4499.738,0
56,10,6.425744972349872,450,44507.492,4692.4395,4450.749,0
57,8,6.35458386027018,444,36043.066,4661.463,4505.3833,0
58,5,6.446742769118413,451,22562.89,4794.3545,4512.578,1
59,9,6.360529267354926,445,40758.766,4747.127,4528.752,0
60,4,6.403422690766092,448,17652.91,4692.582,4413.2275,0
61,8,6.399574254242415,447,35196.586,4577.687,4399.573,1
62,4,6.193796223488331,432,20564.209,5381.813,5141.0522,0
63,24,6.305498456940056,440,114207.55,5181.7544,4758.648,0
64,7,6.3448814720648015,443,31967.018,4826.4746,4566.717,0
65,67,5.85994178467039,406,347697.2,5640.936,5189.5103,0
66,9,6.3769524399707285,446,40101.543,4759.646,4455.727,1
67,12,6.353339084416736,444,53197.625,4805.4795,4433.1353,0
68,10,6.272809715496579,438,49682.867,5222.208,4968.2866,1
69,177,5.882435320365713,408,904792.75,6007.43,5111.823,0
70,6,6.097446429202689,424,28550.064,4930.51,4758.344,1
71,17,6.153395154231646,429,82244.81,5132.499,4837.93,0
