spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,24908,5.134072764447072,351,522955400.0,329692.28,20995.479,1
1,227,6.442530791007442,451,1048282.0,5280.8203,4617.9824,1
2,205,6.479159008505452,454,944873.7,5044.026,4609.14,0
3,21,6.55415878847097,459,135674.02,12683.33,6460.6675,1
4,4,6.5531863505941965,459,19729.86,5625.387,4932.465,1
5,7,6.553086565817757,459,33403.773,5650.3633,4771.968,1
6,34,6.54477144402734,459,176084.55,7264.4453,5178.957,1
7,14,6.541957362726162,458,69133.03,6168.8535,4938.0737,1
8,16,6.212308826877577,433,109187.36,13453.854,6824.21,1
9,45,6.216927652280819,434,435990.1,31773.895,9688.669,1
10,11,6.210019594218683,433,78547.43,11553.063,7140.6753,1
11,25,6.205788491265289,433,166502.58,11330.416,6660.103,1
12,6,6.46048385608475,452,25356.555,4545.706,4226.0923,0
13,8,6.463208454321019,452,34278.41,4521.452,4284.8013,0
14,6,6.490934885396435,454,26586.27,4770.831,4431.045,1
15,22,6.167652632925101,430,104958.76,5216.7173,4770.8525,0
16,14,6.541671347991551,458,64020.605,5143.9634,4572.9004,1
17,4,6.408061996622822,448,17466.66,4524.2524,4366.665,0
18,7,6.427737838554464,450,31345.564,4571.1187,4477.938,1
19,20,6.556995091694956,460,88044.21,4730.397,4402.2104,1
20,6,6.4054703845204575,448,25548.021,4507.747,4258.0034,0
21,6,6.484605525576886,454,26840.879,4567.5063,4473.48,0
22,14,6.591922695020976,462,62472.38,4813.415,4462.313,1
23,5,6.506583737789024,456,22326.156,4700.7056,4465.2314,1
24,32,6.365413663654064,445,142171.56,4863.34,4442.8613,1
25,4,6.56189234005809,460,17655.225,4742.216,4413.806,0
26,14,6.432422257652705,450,62371.04,4849.743,4455.074,1
27,6,6.5184144936726005,457,26261.254,4614.7856,4376.8755,0
28,21,6.5503542456333905,459,114097.305,8740.169,5433.205,1
29,5,6.397865396612104,447,22189.756,4549.457,4437.951,1
30,25,6.030434556276503,419,121256.3,5121.3926,4850.252,0
31,10,6.393178205471357,447,43211.85,4671.3784,4321.185,0
32,21,6.409235562870193,448,91345.4,4687.1323,4349.781,0
