Qbin,mean,std,median,mad
-39,-62.38611299132958,78.31315446344682,-86.06747172723495,38.68511540198037
-38,14.478473919008794,32.56921242854155,15.23715523369396,27.160482965290463
-37,0.03363453521243567,24.149096389076362,0.5119893214301823,16.85738452620071
-36,1.0092029693024835,19.910646869429335,0.7014772394350732,12.812341263063376
-35,-0.06930242570038458,22.104528165379563,1.1974514582696099,15.492441745804468
-34,-0.9123342499660129,21.762213929775758,1.6981987213913645,14.170139996771983
-33,0.7216325673663797,21.990347619505478,0.6926556117928206,13.554143099253377
-32,-0.37726111330647005,26.671057879557456,0.1554687292884804,20.306686718851637
-31,0.21936856022864606,25.04201845050573,1.2586094894733,16.86973415737395
-30,-0.3588220495311708,26.187167147574918,0.3204026936411344,16.514493282143533
-29,0.012536812724316055,28.38041723176912,1.9995679133603337,18.8099941070285
-28,0.31055893417056335,25.951702088310626,0.2054832877981676,18.121618821617886
-27,-0.43204196014952295,30.947251721381942,-0.16870235123786143,18.985815113770904
-26,0.0468565487025422,25.849145416627316,0.346695259756566,17.15973985228665
-25,-0.0004503865222475191,30.5584712824005,1.4883268101486018,20.726905765076168
-24,0.3231570112826527,31.617087681729288,-0.7737265079793474,19.52090367704365
-23,-0.1516749889456611,29.069646770262988,0.22030376362459192,18.691719863597548
-22,-0.39109738399973154,29.50051512795942,-1.3865927516834375,19.63976884919198
-21,0.7268142013230242,28.585344716251864,1.3205417553663956,19.631141555943902
-20,-0.3670075782283946,27.231549904657655,-0.4314766234902365,19.50760547214169
-19,0.12292883378987048,29.101469248293444,0.22896050589095984,19.51396364111223
-18,0.3969371844380822,30.444860185753356,1.272930564695364,20.78646788250321
-17,-0.548728177586795,28.849727796703,-1.3563571601933575,19.947368393213527
-16,-0.006323729651365231,30.821186932089503,-0.4697267138806227,21.293130335765788
-15,0.4256413920565813,29.42526477111913,1.6753199790330422,19.489321498375585
-14,-0.5391507583276968,31.267826631357707,-1.4320343515169864,20.710102317477812
-13,0.38731251145818074,33.10765110435506,0.17230478852293,22.231398483425885
-12,-0.19641855347793966,32.87347863658162,0.7929297617552877,22.10547561980683
-11,0.0012531781463382872,33.96046383287363,1.2691582811638158,22.367187173239877
-10,0.08968748489203043,32.949036767721424,-0.10751731620173466,22.251031214687117
-9,-0.3937307251501419,35.84121301118744,-0.9138324666505231,23.68406091774558
-8,-0.012330949564119321,37.01753718578008,0.11257375812350867,25.295245571624676
-7,0.5261539842181315,35.17665277435246,0.589705108523142,22.885902143406973
-6,0.36484392967847135,32.88558819523477,0.6908683184339584,23.791767728492403
-5,-0.4129228399830561,32.26350575767483,0.09904572755978425,23.3280980702104
-4,0.05394086548132755,32.28515480746631,-0.6934354088674465,22.221739894680734
-3,-0.2231275342855,32.120054147419644,-0.010008363629857797,21.341088370098078
-2,0.18049902791881087,31.78574497976539,0.4656491324388812,20.181297884439402
-1,0.12272446748442696,31.246829638195514,-0.6954780517343526,21.416516496384492
0,0.04434589180436349,32.509193992716796,0.2636781094926919,21.314080750615013
1,-0.3498619583048714,31.578820413888998,0.3771545137198732,22.015337993482092
2,-0.03858834178029834,31.95679638360859,-0.14210828605054537,21.99385884305285
3,-0.09935894990881133,32.63853915292543,-0.11588916822274964,21.721317809045495
4,0.28123613424485094,31.01940740153753,-0.4722714071965577,20.330519900157583
5,0.08894915767627107,31.45690832372709,0.06776814416925436,20.900832785544125
6,-0.2212238810232657,32.713855025249565,-0.06690021566623672,22.368578649469924
7,-0.13109791684087016,33.32636406438589,-0.2703387576028362,22.99811429602021
8,0.33359836784277236,34.469516515895364,0.8256485211576905,23.225951568359733
9,-0.1101906811738069,32.74361195583812,0.4295033509015087,20.677053057679522
10,0.17616962043404785,31.350934042076098,-0.22267526382685787,21.97234800205151
11,-0.021090090340337733,31.490432002889737,0.6787011371258576,19.925316932121127
12,-0.7283954264667619,65.21232898604427,-0.7517657663687594,21.221212746883072
13,0.7677205073623412,55.43788220028432,0.8482620287546201,23.317805778645617
14,-0.1709217506898735,30.946135531942975,-1.2782218096565603,20.829832985958568
15,-0.2745346147081518,30.891098249704203,0.23800470967405696,20.86866150385962
16,0.43859905299793944,30.538412539479104,0.1443899382794112,20.55365131095448
17,-0.47582038629880025,34.24926719269337,-0.6608733824475349,22.736226573632834
18,0.35475490697508494,34.14350444642825,0.588611871641862,22.690987485044598
19,-0.0813785001067943,31.909408133861195,0.36432903728994015,21.978672791458532
20,0.09374780409860294,31.89175191115661,0.6205741498372195,21.888520582798034
21,0.003948738395689186,31.611074098179994,0.375692168211571,21.159218109325785
22,-0.004604462652512031,32.67534492934593,-0.05603339174947597,21.662381041102535
23,-0.34937847538612127,34.173101968728524,0.33555993045513155,22.37973673945308
24,0.4161546361490829,32.94707993013277,0.23861559786455344,22.863340826657492
25,-0.30623168590262795,30.49725169326183,0.4099542246256971,20.85450759390399
26,0.18791712340877878,33.0630578482056,1.1607362704061934,22.56877410639084
27,0.24305183271031897,32.15638417435924,0.11887285213926813,21.30413142399428
28,-0.17093971329204555,34.35121319798344,-1.2590506028155284,23.02045534803568
29,0.03217529118504711,33.68916247048546,1.0293012616594601,22.840277864075993
30,0.1533474779389258,31.892008915779552,0.517989027412221,21.418158528017674
31,-0.10647857120724111,33.091171671147485,0.20559534469619845,22.55900398655664
32,-0.07056687154231117,32.09503963471749,0.768208808506861,20.944486341957607
33,0.03265907838200841,31.469748542008645,0.6531218614774648,21.181206891221596
34,0.09538437413906602,31.934159046630565,0.3186128716978195,21.840151903270293
35,-0.10833918156920448,32.53664565335986,0.7534717583187152,21.898202388993333
36,-0.1883536248425905,34.45753119915484,0.1699445988096404,21.86250156881662
37,0.08706038511009775,39.96054442965096,0.7945033662893817,21.651847703152434
38,-0.14482828375481904,92.28150264371541,1.091082215961464,23.650502730105863
39,0.19907855394471197,73.38977624532473,1.5032956522600234,23.560159463974266
40,-0.1567300438855921,40.103085391010495,0.6159359281147501,22.244678048247145
41,-0.018696921250835784,33.59725024068089,0.09018589574495106,21.848933353857973
42,-0.14620638825929214,33.59147119644343,0.3931328397294038,22.659201847827365
43,0.19601916016319224,32.83637506074615,-0.031017882490465887,21.675390823622656
44,-0.05969074171099746,35.56561637943225,0.18568532442053787,23.5466624352418
45,0.06984383976459764,40.59934983930622,0.3364990541740802,27.46213201654086
46,0.3002918893770043,42.197910899957876,1.0207691408493966,28.00104899701183
47,-0.3867242255015633,41.72250206941701,-0.22871668221633712,29.209761060639536
48,0.06260268357822184,38.85021540954358,0.25973023749374313,26.240728316715504
