spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,25849,5.129830168351818,351,538485300.0,334236.22,20831.959,1
1,65,6.5321844854675435,458,300167.53,5389.0645,4617.962,0
2,212,6.482028889365262,454,1011813.9,5958.595,4772.707,1
3,33,6.416026737908424,449,147345.69,4776.669,4465.021,0
4,11,6.555575703918829,459,51171.41,5379.1104,4651.9463,1
5,6,6.553927005197694,459,29586.38,5592.576,4931.0635,1
6,5,6.550791061207015,459,22075.797,4788.337,4415.159,1
7,24,6.592384729397601,462,104478.445,4815.053,4353.2686,0
8,7,6.547003333475929,459,33550.695,5258.51,4792.9565,1
9,8,6.317919646748779,441,43815.867,5686.046,5476.9834,1
10,8,6.551516361698192,459,35470.08,5020.345,4433.76,1
11,14,6.548472764940486,459,71205.82,7770.2563,5086.13,1
12,31,6.542815902245473,458,165759.7,8457.015,5347.0874,1
13,7,6.517869433423649,457,32936.582,5142.0947,4705.226,0
14,9,6.511815028087895,456,43400.473,5090.198,4822.275,0
15,10,6.252949041938736,436,50460.95,5220.816,5046.0947,1
16,49,6.217552049389682,434,695563.5,59375.668,14195.174,1
17,62,6.4557892736493905,452,286331.6,5286.912,4618.2515,0
18,7,6.210019594218683,433,46548.426,8102.383,6649.775,1
19,25,6.205788491265289,433,176183.78,15376.002,7047.351,1
20,32,6.573905875345371,461,135057.44,4673.569,4220.545,0
21,7,6.447410005309501,451,30513.426,4817.796,4359.061,0
22,4,6.431155117922351,450,17674.48,4638.5977,4418.62,1
23,5,6.608975000017202,464,22272.197,4772.981,4454.4395,0
24,28,6.261201902762407,437,138547.31,5408.9663,4948.118,0
25,4,6.5806789049822125,461,17077.459,4365.963,4269.3647,1
26,15,6.509650106153976,456,72319.086,5212.3843,4821.2725,1
27,5,6.38952042187039,447,22203.557,4754.749,4440.7114,0
28,14,6.440284108709339,451,60360.797,4726.451,4311.4854,0
29,27,6.55708423686796,460,126064.03,6384.097,4669.038,1
30,9,6.3713433493767875,445,41298.83,4756.2886,4588.759,0
31,4,6.509436874445961,456,19441.828,5021.396,4860.457,0
32,4,6.396642266526259,447,17599.426,4656.0527,4399.8564,0
33,4,6.324037128616558,442,22321.482,5658.292,5580.3706,1
34,811,6.253044430031667,436,4030020.0,6153.1016,4969.1987,0
35,6,6.428926717456257,450,25927.408,4634.03,4321.235,0
36,4,6.526791180075861,457,18385.047,4927.7603,4596.2617,0
37,33,6.111278299526451,426,158748.48,5178.9473,4810.56,0
38,5,6.472313136691607,453,23379.684,4882.905,4675.9365,0
39,4,6.325327548817654,442,22131.607,5691.738,5532.902,1
40,10,6.361641747579933,445,45772.55,4850.4688,4577.255,0
41,13,6.380318263481385,446,56918.633,4754.3154,4378.3564,0
42,4,6.506651096620821,456,19672.5,5092.045,4918.125,1
43,9,6.55276019369634,459,41342.414,4942.1895,4593.6016,1
44,4,6.2749163504527194,438,19584.422,5124.775,4896.1055,1
45,9,6.460905141437107,452,41028.43,4867.7456,4558.7144,0
46,7,6.255369910277653,437,34686.625,5219.3047,4955.232,1
47,13,6.404018155880748,448,57166.336,4731.662,4397.4106,0
48,5,6.506195425654043,456,24196.6,5101.9907,4839.32,1
49,12,6.369422611623752,445,54170.67,5036.47,4514.2227,0
50,6,5.9912895178427386,416,31479.305,5566.3267,5246.551,0
51,9,6.318448564386492,441,48741.12,5680.0244,5415.68,1
52,6,6.4142337139355545,449,26458.229,4579.9795,4409.7046,0
53,5,6.3154366270564575,441,27260.13,5820.439,5452.0264,1
54,6,6.334371082544584,443,32051.75,5698.754,5341.9585,1
55,4,6.3667327229129,445,18324.926,4691.297,4581.2314,1
56,7,5.927306335192878,412,35200.414,5233.0786,5028.6304,1
57,6,6.3336653062766075,442,31025.236,5621.0674,5170.8726,1
58,13,6.404624511062523,448,56011.83,4605.246,4308.602,1
59,5,6.017935017172469,418,26643.996,5462.9243,5328.7993,1
60,7,5.8897523319689,409,34261.863,5239.6514,4894.552,0
61,25,6.259792409237416,437,123792.92,5176.8896,4951.717,1
62,7,6.217145695793344,434,36457.465,5437.017,5208.2095,1
63,8,6.114775301113756,426,38151.418,4994.889,4768.9272,0
64,9,5.982049484095553,416,46131.703,5433.9526,5125.7446,0
65,4,6.323049180568987,442,22923.824,6037.7104,5730.956,1
66,6,6.104431665316321,425,28258.309,5019.376,4709.7183,0
67,52,6.183097688781631,431,251105.39,5931.5776,4828.9497,0
68,22,5.917575203485928,411,108734.305,5340.4614,4942.4683,0
69,9,5.806212558043784,402,51829.72,6216.404,5758.8574,1
70,4,6.138643667908371,427,18665.91,4886.0293,4666.4775,0
71,4,6.138538348498682,427,18984.988,4867.9746,4746.247,0
72,18,6.102790812633281,425,84520.76,5008.0073,4695.5977,1
73,23,5.845068439698294,405,120947.58,6075.0166,5258.5903,0
74,14,5.744624576201743,398,74083.38,5583.0103,5291.6704,1
75,5,5.596859397557435,386,29963.137,6109.9688,5992.6274,1
76,64,5.856545914054193,406,553523.75,59167.043,8648.809,1
77,1444,5.463817751937206,376,9946913.0,59587.523,6888.444,0
78,5,5.550963776062091,383,28105.887,5886.313,5621.1772,0
79,5,5.6986844342763865,394,26708.324,5446.5073,5341.665,0
80,89,5.33764400606729,367,525919.7,6416.9517,5909.21,0
81,9,5.344046264542981,367,52824.15,6172.2686,5869.3496,0
82,8,5.318119492339707,365,46714.12,6152.704,5839.265,0
83,10,6.207028636655926,433,53252.094,5472.7056,5325.2095,1
84,4,5.303168468143402,364,22949.43,5955.1055,5737.3574,0
85,11,5.475413588705061,377,113003.266,23663.39,10273.024,1
86,5,5.597110406493536,386,29474.758,6111.9146,5894.9517,1
87,7,5.595298774554086,386,41529.94,6218.88,5932.8486,1
88,1435,5.46543128798453,376,9870702.0,31813.271,6878.538,0
89,32,5.15674897851622,353,326669.7,11078.322,10208.428,0
90,6,5.157431025547458,353,60334.734,10821.723,10055.789,0
91,4,5.846201240085474,405,19280.535,5278.919,4820.134,0
92,17,5.14075865397817,352,271806.22,18393.076,15988.602,1
93,12,5.140713729115656,352,173042.78,16298.556,14420.231,1
94,4,5.291742310702374,363,23743.78,6096.531,5935.945,0
95,21,6.2064758370137945,433,175744.3,18716.672,8368.776,1
96,7,5.576817055777159,385,40395.86,6008.97,5770.837,0
