spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,24570,5.130527879000086,351,536298400.0,328698.88,21827.367,1
1,265,6.449465206570201,451,1224305.2,5539.0522,4620.02,0
2,321,6.458421514449106,452,1527204.2,5450.155,4757.6455,0
3,16,6.553050659857209,459,74796.8,5358.297,4674.8,1
4,12,6.549062120753144,459,61123.605,6395.4443,5093.634,1
5,5,6.543761853470237,459,22626.635,4745.2993,4525.327,1
6,6,6.548275403280387,459,29556.102,5840.951,4926.017,1
7,4,6.587791812077647,462,17813.953,4559.55,4453.4883,0
8,4,6.535608037773069,458,16803.447,4494.214,4200.862,0
9,7,6.546367420518697,459,32276.828,5018.5903,4610.9756,1
10,62,6.543841342976293,459,339261.75,12573.835,5471.964,1
11,20,6.212488714237294,433,175089.61,28330.283,8754.48,1
12,47,6.216330014407753,434,336406.7,13950.432,7157.589,1
13,8,6.51521296154769,456,34214.016,4673.472,4276.752,0
14,10,6.5843371428277315,462,42518.11,4534.3467,4251.811,0
15,20,6.2037965715002175,433,161094.47,21175.4,8054.7236,1
16,20,6.2057049888534515,433,116504.9,7510.9927,5825.245,1
17,13,6.5039116097760825,456,57033.277,4598.814,4387.1753,1
18,4,6.433170750976876,450,17274.115,4672.133,4318.529,0
19,10,6.478992579807038,454,44851.91,4783.3433,4485.191,1
20,39,6.534920364262184,458,169902.8,5349.526,4356.482,1
21,189,5.980219158511768,416,947890.2,5758.93,5015.292,0
22,12,6.442772770450503,451,53443.453,4639.098,4453.621,1
23,22,6.559114756778436,460,93921.46,4551.5054,4269.157,0
24,14,6.4287625037311225,450,61475.773,4744.699,4391.1265,1
25,12,6.5500672434483995,459,52643.28,4642.908,4386.94,1
26,5,6.580971586011733,461,22234.363,4676.849,4446.8726,0
27,4,6.401864446411058,448,17867.86,4538.367,4466.965,0
28,7,6.374563059508389,446,31345.5,4755.412,4477.9287,0
29,5,6.520733662708271,457,22203.553,4612.0664,4440.7104,0
30,49,6.5494979474134265,459,249525.33,12045.241,5092.3535,1
31,1081,6.250633710097191,436,5320988.0,6046.871,4922.283,0
32,4,6.440552095220777,451,17819.795,4580.191,4454.9487,1
33,38,6.372437229581431,445,167959.3,4819.231,4419.9814,0
34,5,6.416802994265045,449,22191.605,4750.142,4438.3213,1
35,4,6.487200722414363,454,17566.18,4587.9595,4391.545,0
36,4,6.49942171050748,455,17798.04,4708.707,4449.51,0
37,8,6.3364608818956345,443,36144.71,4875.0786,4518.089,0
38,223,5.997442933162175,417,1118871.2,5862.518,5017.36,0
39,15,6.492416604548907,455,65186.05,4701.664,4345.737,0
40,10,6.453159246295979,452,43955.234,4678.584,4395.5234,1
41,5,6.51311516580817,456,21730.285,4640.862,4346.057,1
42,4,6.295972353665457,440,18764.35,4901.6997,4691.0874,0
43,9,6.295136471613197,440,42476.688,5069.6426,4719.632,0
44,5,6.385186137582295,446,22226.5,4624.3984,4445.3,0
45,20,6.449916466822765,451,87880.64,4815.082,4394.032,1
46,8,6.547497849248801,459,35736.93,4975.097,4467.116,1
47,5,6.390683623273344,447,21941.066,4738.3135,4388.2134,0
48,25,6.551600803428582,459,136547.9,10504.836,5461.916,1
49,5,6.551066423223972,459,22314.227,4693.7764,4462.845,1
50,7,6.379305149777586,446,31220.12,4612.1357,4460.017,1
51,27,6.448749924092176,451,117771.33,4716.083,4361.901,0
52,18,6.382657086370051,446,79815.945,4737.08,4434.219,0
53,4,6.197954318611515,432,20610.914,5294.3774,5152.7285,1
54,8,6.445474671282662,451,35333.2,4669.161,4416.65,1
55,8,6.20144684471553,432,41562.26,5565.5693,5195.2827,1
56,4,6.350458865694792,444,17683.32,4645.378,4420.83,0
57,10,6.114676427743958,426,47380.875,4959.714,4738.0874,0
58,5,6.127571889370583,427,23914.111,5131.2417,4782.8223,1
59,4,6.3696594206522565,445,17944.664,4624.6885,4486.166,1
60,4,6.250881964871565,436,20239.72,5301.132,5059.93,1
61,6,6.104384089942705,425,28215.477,4973.0913,4702.5796,0
62,21,6.171518278861084,430,100954.09,5167.1016,4807.338,0
63,9,6.126767975960657,427,42822.37,5037.289,4758.041,1
64,4,6.122582601237983,426,19459.635,4991.445,4864.9087,1
65,4,6.138026130226297,428,19526.854,5123.3315,4881.7134,1
66,5,6.05803273611318,422,24014.65,4918.55,4802.93,1
67,6,5.737050657570864,397,31792.219,5584.0654,5298.703,0
68,4,6.101769032133889,425,19155.383,4944.143,4788.8457,1
69,5,5.699093621674497,394,27838.637,5817.6875,5567.7275,1
70,7,6.112158067926673,426,32836.707,4919.895,4690.958,1
71,46,5.721240921778281,396,246170.9,5867.0205,5351.5415,1
72,1433,5.46646381002023,376,10372536.0,42852.453,7238.3364,1
73,70,5.858618099029681,406,662388.06,85831.625,9462.687,1
74,34,5.338648689795134,367,218331.06,7115.4077,6421.502,1
75,16,5.338142005802915,367,102514.266,6775.372,6407.1416,1
76,17,5.329665537700704,366,108967.914,6833.7446,6409.8774,1
77,6,5.325054438712067,366,37448.457,6511.6626,6241.4097,0
78,9,5.331014395374853,366,56293.867,6501.591,6254.874,1
79,6,5.325196868872395,366,37729.7,6563.492,6288.283,1
80,4,5.330837964310504,366,24756.82,6452.952,6189.205,0
81,4,5.378844717560893,370,35199.74,9136.311,8799.935,1
82,1522,5.465360832312237,376,11737086.0,134845.0,7711.62,0
83,26,5.156658634532819,353,251105.89,10179.664,9657.919,0
84,6,5.157431025547458,353,58900.168,10457.331,9816.694,0
85,16,5.140884741325106,352,249884.23,18097.43,15617.765,1
86,10,5.141127980632363,352,147516.12,15515.139,14751.612,1
87,4,5.14243501822404,352,57445.16,14712.166,14361.29,1
88,33,6.205959956107648,433,374767.8,43413.44,11356.601,1
89,24,5.242986315441703,359,143710.19,6264.0874,5987.9243,0
90,5,5.144609768519352,352,70656.42,16466.209,14131.284,1
91,602,4.762466483301862,323,3936365.0,97446.37,6538.8125,0
92,4,5.16700467400491,353,28424.285,9313.712,7106.0713,0
93,21,5.339079197182222,367,134931.11,6728.131,6425.291,0
94,4,5.326918428415153,366,25450.385,6579.322,6362.596,1
95,26,5.330855837730641,366,166124.52,6781.3906,6389.4043,1
96,630,4.6882620741594785,317,7136727.0,579034.25,11328.138,0
97,6,5.3260082733934,366,37903.895,6529.214,6317.316,1
98,6,5.340034746942022,367,39490.984,6750.297,6581.8306,0
99,4,5.152140917116823,352,51109.64,15561.657,12777.41,1
100,4,5.80737494044004,402,21240.441,5436.314,5310.1104,1
101,4,5.333635671166167,366,25362.555,6583.0596,6340.6387,0
102,6,5.150185357158369,352,82682.22,15910.744,13780.37,1
103,17,5.1504871693188,352,231971.36,16679.898,13645.374,1
104,7,4.988483629039714,340,54177.203,11498.745,7739.6006,1
105,14,4.845546989989877,329,81184.13,6264.995,5798.8667,0
106,2503,4.6794221960399325,316,19817116.0,379054.03,7917.3457,0
107,4,5.151313668247669,352,52346.74,15682.165,13086.685,1
108,33,5.48446098597505,378,477764.03,67776.89,14477.698,1
109,4,4.886996328334634,332,23824.676,6294.767,5956.169,0
110,4,5.151310193488635,352,51690.242,15438.145,12922.561,1
111,8,4.8577883815813845,330,48452.777,6259.011,6056.597,1
112,4,5.155334745188239,353,46257.258,14038.644,11564.314,1
113,21,4.800105785672512,326,117263.64,6113.4272,5583.983,1
114,7,4.811897490369213,327,39041.336,5945.705,5577.3335,0
115,4,5.480175704771364,377,30719.691,8489.642,7679.923,1
116,4,5.766781898255132,399,20678.182,5352.801,5169.5454,1
117,5,4.796078992028159,325,28296.56,6086.215,5659.312,0
118,4,4.86136542024851,330,24902.049,6468.52,6225.512,1
119,7,4.870719602245209,331,42662.48,6331.132,6094.64,1
120,14172,4.37456884881373,293,207772860.0,5977368.5,14660.801,1
121,6,4.839591090861417,329,35583.242,6096.2246,5930.5405,1
122,7,5.482304209063361,378,57312.18,10591.623,8187.454,1
123,4,4.825494989936517,328,22860.791,5871.787,5715.1978,0
124,68,6.206477075905612,433,366775.12,6002.3125,5393.752,1
125,17,5.481845762804696,378,169449.94,18763.725,9967.644,1
126,13,5.476776040038341,377,120254.55,20029.822,9250.35,1
127,34,5.64970177504889,390,190255.39,5844.8374,5595.7466,0
128,6,5.696656844293134,394,32056.752,5613.43,5342.792,0
129,4,6.292736084617182,439,18969.818,4876.968,4742.4546,1
130,6,5.650773433302865,390,34425.79,6172.5415,5737.6313,1
131,7,6.328789805941614,442,30932.072,4731.133,4418.8677,0
132,4,4.777207941743873,324,22078.525,5759.5093,5519.6313,0
133,13,5.472764093948649,377,101595.83,11195.301,7815.0635,1
