spot_stat_label,area,medianQ,Qbin,intensity_sum,intensity_max,intensity_mean,on_arc
0,25207,5.137355775847611,351,542324030.0,329234.88,21514.818,1
1,241,6.4570291131463735,452,1106492.5,5215.086,4591.2554,0
2,41,6.546677948201021,459,185231.03,4873.748,4517.83,0
3,732,6.177024784111446,431,3766578.5,6316.192,5145.599,0
4,10,6.430133420177237,450,44631.77,4655.052,4463.177,0
5,21,6.553352516854402,459,104989.47,6468.8037,4999.4985,1
6,5,6.549837693428178,459,25091.521,5767.7803,5018.304,1
7,4,6.549037853062133,459,17562.068,4556.145,4390.517,1
8,6,6.546116075483908,459,30729.832,6157.9175,5121.6387,1
9,71,6.542170574361846,458,365354.5,9314.554,5145.838,1
10,8,6.543922813251939,459,36163.27,5150.9487,4520.4087,1
11,4,6.51268302439758,456,17504.807,4599.6,4376.2017,1
12,55,6.217874654294727,434,370586.8,12567.034,6737.942,1
13,12,6.504579758390671,455,52511.4,4592.1772,4375.9497,0
14,22,6.218340473645386,434,189973.89,29036.52,8635.177,1
15,23,6.2100052229920895,433,220436.78,31823.984,9584.208,1
16,20,6.2057049888534515,433,122860.625,8668.793,6143.0312,1
17,5,6.513969045042686,456,22310.88,4591.831,4462.1763,1
18,14,6.531360845561576,458,59981.676,4703.8735,4284.4053,0
19,17,6.538689356418118,458,77325.5,5680.445,4548.5586,1
20,41,6.158787348955274,429,197886.95,5385.3066,4826.511,0
21,5,6.4659367549237245,453,22421.07,4624.7,4484.214,1
22,4,6.572300075544925,461,17784.11,4773.104,4446.0273,1
23,6,6.409833730181009,448,26727.496,4670.7383,4454.5825,1
24,24,6.42607612671584,450,105978.95,4699.1377,4415.7896,1
25,4,6.479243212050615,454,17673.242,4566.808,4418.3105,0
26,5,6.577139004123044,461,22381.676,4591.8687,4476.335,1
27,6,6.42058517671839,449,26397.477,4541.626,4399.5796,0
28,8,6.544775901125262,459,35612.027,4570.3335,4451.5034,1
29,4,6.574597958030418,461,18186.717,4607.0996,4546.679,1
30,6,6.433219544132247,450,26795.951,4653.618,4465.9917,1
31,34,6.504933161269876,456,148600.33,4752.6475,4370.5977,0
32,18,6.323215903921966,442,81293.734,5113.729,4516.3184,1
33,7,6.467246413230645,453,30983.848,4804.1963,4426.264,0
34,9,6.357460582229716,444,40853.902,4791.459,4539.3223,0
35,14,6.084786974885108,423,69023.33,5368.573,4930.238,0
36,6,6.39268850418175,447,26072.184,4634.464,4345.364,1
37,12,6.417020960073597,449,53257.29,4705.016,4438.1074,1
38,977,6.24855597347168,436,4787565.5,6007.4976,4900.272,0
39,28,6.477718118082507,453,122134.47,4681.663,4361.9453,0
40,30,6.549926096523409,459,161573.36,10397.186,5385.779,1
41,6,6.311187475619012,441,28951.914,5050.7656,4825.319,1
42,7,6.421861761347506,449,31439.031,4825.468,4491.29,1
43,5,6.433967541424011,450,22239.844,4594.639,4447.9688,1
44,6,6.4700128319688535,453,27261.832,4925.5757,4543.6387,0
45,4,6.5449697882941384,458,18660.244,4852.7183,4665.061,1
46,5,6.444144651658226,451,21901.48,4702.2593,4380.296,1
47,32,6.549870875521888,459,171817.22,11007.532,5369.288,1
48,21,6.005661267785891,418,105211.516,5322.4854,5010.0723,0
49,8,6.457701041204237,452,35434.15,4643.361,4429.2686,0
50,4,6.42549381917634,449,18274.406,4835.208,4568.6016,1
51,21,5.935000594566528,412,104122.66,5209.6704,4958.2217,0
52,13,6.326273382064213,442,59939.56,4990.706,4610.7354,1
53,11,6.297933478296565,440,52598.94,5090.4443,4781.722,1
54,7,6.355821201867306,444,31598.268,4746.6157,4514.038,0
55,6,5.9240424713181365,411,29360.844,5223.238,4893.474,0
56,5,6.1511549996760335,429,24322.328,4924.3755,4864.466,1
57,98,5.792669661465029,401,520158.3,5869.57,5307.738,1
58,4,6.301155591690337,440,19084.441,5175.23,4771.1104,0
59,5,6.109784424945953,425,23642.238,4908.345,4728.4478,0
